Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
VILLAVERDE,40.354728,-3.702921,Vivienda,11176345,2020,Ángeles,440310.26115166815,4467366.8588489285
VICÁLVARO,40.406674,-3.554058,Vivienda,10831273,2020,El Cañaveral,452987.4147542067,4473042.991081955
VICÁLVARO,40.406681,-3.55427,Vivienda,10831273,2020,El Cañaveral,452969.4310434804,4473043.880856457
VICÁLVARO,40.407221,-3.550798,Vivienda,10831273,2020,El Cañaveral,453264.4099937093,4473101.97860635
VICÁLVARO,40.405652,-3.56171,Vivienda,8419896,2020,El Cañaveral,452337.40774506866,4472933.648344096
VICÁLVARO,40.405013,-3.56258,Vivienda,8419906,2020,El Cañaveral,452263.13410198037,4472863.189555468
VICÁLVARO,40.405559,-3.559543,Vivienda,8625033,2020,El Cañaveral,452521.2190775607,4472922.159183379
VICÁLVARO,40.400465,-3.558319,Vivienda,8625033,2020,El Cañaveral,452621.50806145265,4472356.074417504
VICÁLVARO,40.400904,-3.55998,Vivienda,4212785,2020,El Cañaveral,452480.86491840595,4472405.6944415765
VICÁLVARO,40.401244,-3.559669,Vivienda,4212785,2020,El Cañaveral,452507.4950257889,4472443.26689644
VICÁLVARO,40.405876,-3.5551,Vivienda,8419896,2020,El Cañaveral,452898.4428880753,4472954.968729442
SAN BLAS-CANILLEJAS,40.446189513951886,-3.6197618193996126,INVERSIONES DE CARÁCTER GENERAL,"3.637.182,83",2020,El Salvador,447443.089689652,4477466.2116572065
VICÁLVARO,40.40927578819653,-3.603279589401199,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2.329.862,64",2020,Casco Histórico de Vicálvaro,448812.8422544787,4473359.130633236
SAN BLAS-CANILLEJAS,40.42965364963891,-3.6005187759065747,MANTENIMIENTO URBANO,"1.704.063,93",2020,Rosas,449062.4654591502,4475619.463125198
CENTRO,40.416764715664094,-3.699688118236328,URBANISMO,"1.956.614,00",2020,Cortes,440639.2769353014,4474250.695307764
RETIRO,40.4195,-3.687472,MEDIO AMBIENTE,"1.771.746,00",2020,Los Jerónimos,441678.04832537327,4474546.176135547
MONCLOA-ARAVACA,40.4325727195707,-3.737017063580201,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3.086.749,80",2020,Casa de Campo,437486.94234168506,4476031.126294103
CENTRO,40.40836266765931,-3.7065290605658863,EDUCACIÓN,"2.289.692,35",2020,Embajadores,440051.43869516155,4473322.689880853
FUENCARRAL-EL PARDO,40.49553852652329,-3.725235802891992,INFRAESTRUCTURAS,"2.297.317,26",2020,Mirasierra,438543.64215921215,4483012.096199194
MONCLOA-ARAVACA,40.4325727195707,-3.737017063580201,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1.900.000,00",2020,Casa de Campo,437486.94234168506,4476031.126294103
HORTALEZA,40.4850740456912,-3.66621437705966,INFRAESTRUCTURAS,"1.462.136,30",2020,Valdefuentes,443536.37478612945,4481811.089532025
PUENTE DE VALLECAS,40.38456668253675,-3.664754926188732,Vivienda,"7902465,32",2020,San Diego,443576.1139527445,4470653.861013887
PUENTE DE VALLECAS,40.384526,-3.665264,Vivienda,"5957523,99",2020,San Diego,443532.8698709983,4470649.670258452
VILLA DE VALLECAS,40.373504,-3.633394,Vivienda,7184116,2020,Casco Histórico de Vallecas,446229.2286905234,4469406.379622865
ARGANZUELA,40.399545,-3.682813,Vivienda,"6498987,03",2020,Atocha,442056.186962004,4472328.11903824
PUENTE DE VALLECAS,40.385593,-3.66373,Vivienda,"9088089,66",2020,Palomeras Bajas,443663.96461980685,4470767.127568319
CARABANCHEL,40.363847,-3.751325,Vivienda,"19470949,94",2020,Buenavista,436208.5112236598,4468412.834281608
PUENTE DE VALLECAS,40.386301,-3.665212,Vivienda,7629861,2020,San Diego,443538.76580035366,4470846.660008817
VILLA DE VALLECAS,40.373944,-3.63562,Vivienda,9019612,2020,Casco Histórico de Vallecas,446040.6064007297,4469456.574633213
VILLA DE VALLECAS,40.37354,-3.634911,Vivienda,7267886,2020,Casco Histórico de Vallecas,446100.4737052022,4469411.298924962
VILLA DE VALLECAS,40.373781,-3.634091,Vivienda,7267885,2020,Casco Histórico de Vallecas,446170.2782426851,4469437.550181093
VICÁLVARO,40.400705,-3.559247,Vivienda,8630555,2020,El Cañaveral,452542.9268713023,4472383.211911168
VICÁLVARO,40.402459,-3.561951,Vivienda,7604196,2020,El Cañaveral,452314.704951139,4472579.358982846
USERA,40.3711334,-3.6954568,CULTURA,"4.024.761,47",2020,Orcasur,440958.41680313484,4469182.825503132
MONCLOA-ARAVACA - CENTRO,40.42178207,-3.71204071,URBANISMO,"59.457.701,11",2020,Palacio,439595.776577099,4474815.991054545
VICÁLVARO,40.386389,-3.575556,MEDIO AMBIENTE,"27.676.819,40",2020,Casco Histórico de Vicálvaro,451148.61130450055,4470803.03778882
VICÁLVARO,40.37375603346773,-3.5974301000917963,MEDIO AMBIENTE,"7.612.616,03",2020,Casco Histórico de Vicálvaro,449282.5226830786,4469413.111669577
VICÁLVARO,40.37320354825461,-3.559946239932372,MEDIO AMBIENTE,"2.711.886,22",2020,Casco Histórico de Vicálvaro,452464.25906007807,4469330.967017002
VILLA DE VALLECAS,40.3632843,-3.6075912,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","9.759.050,81",2020,Ensanche de Vallecas,448411.9299577536,4468256.642958118
VICÁLVARO,40.4021037,-3.6037268,CULTURA,"7.896.165,57",2020,Casco Histórico de Vicálvaro,448769.45946570265,4472563.294975396
CENTRO,40.411993428490256,-3.696014243112221,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","26.180.683,51",2020,Cortes,440946.79553296906,4473718.623317758
PUENTE DE VALLECAS,40.4040032,-3.6596165,URBANISMO,"5.160.696,29",2020,Numancia,444028.3592071529,4472808.028842717
CENTRO,40.4113817,-3.7109359,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","10.585.938,71",2020,Palacio,439680.2135945678,4473660.79932744
USERA,40.37754434245922,-3.715659804601842,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","5.170.698,80",2020,Zofío,439249.0038058909,4469908.114245272
VILLA DE VALLECAS,40.3624877,-3.5997148,PROTECCIÓN Y PROMOCIÓN SOCIAL,"5.900.075,86",2020,Ensanche de Vallecas,449080.08730323246,4468163.658517834
VILLAVERDE,40.3403167,-3.6832757,INFRAESTRUCTURAS,"3.859.359,84",2020,Butarque,441966.13756907464,4465754.162806726
VILLA DE VALLECAS,40.3687473,-3.6318531,MEDIO AMBIENTE,"17.744.782,50",2020,Casco Histórico de Vallecas,446356.2696571534,4468877.457620071
