Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
MONCLOA-ARAVACA,40.41497,-3.73946,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1519333,66",2024,Casa de Campo,437263.3804929976,4474078.958488741
USERA,40.39237,-3.70709,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"3564967,70",2024,Moscardó,439989.64340360626,4471547.89576131
USERA,40.3922859,-3.7089303,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"10561662,45",2024,Comillas,439833.38196510193,4471539.811482483
CHAMBERÍ,40.44038738649969,-3.700717333433421,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1950445,22",2024,Ríos Rosas,440572.755925364,4476873.49892981
ARGANZUELA,40.39281490540317,-3.689732618094451,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"9301842,18",2024,Legazpi,441463.15224275476,4471585.642961456
MONCLOA-ARAVACA,40.47745229980593,-3.751327218234117,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1100000,00",2024,Fuentelarreina,436315.5467996254,4481023.007145138
USERA,40.3759435930581,-3.702718487554872,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"1200000,00",2024,Pradolongo,440346.16479696124,4469721.623552171
FUENCARRAL-EL PARDO,40.480208828940015,-3.699612587551092,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"3872794,75",2024,La Paz,440701.47519765317,4481292.952167043
MONCLOA-ARAVACA,40.435908,-3.720198,CULTURA,"1218016,71",2024,Casa de Campo,438916.54923597036,4476389.576099507
RETIRO,40.418803,-3.69182,INVERSIONES DE CARÁCTER GENERAL,"2101169,22",2024,Los Jerónimos,441308.5754675872,4474471.688303621
BARAJAS,40.4547855,-3.6019412,CULTURA,"7707799,73",2024,Alameda de Osuna,448960.8229785282,4478409.912315943
MONCLOA-ARAVACA,40.4191125,-3.7256439,CULTURA,"3215616,61",2024,Casa de Campo,438439.34006388584,4474529.057840594
MONCLOA-ARAVACA,40.4126577,-3.7442902,CULTURA,"3000000,00",2024,Casa de Campo,436851.4155045367,4473825.734204117
ARGANZUELA,40.3917614508368,-3.696327616389661,CULTURA,"1938478,00",2024,Chopera,440902.51660052827,4471473.0978746945
USERA,40.374485,-3.685494,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1200000,00",2024,Entrevías,441807.10975471715,4469548.246053761
CARABANCHEL,40.360952,-3.768519,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1999917,74",2024,Buenavista,434745.8434779617,4468104.033381891
CARABANCHEL,40.379236,-3.743367,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2152700,00",2024,Puerta Bonita,436898.55006180453,4470115.287958457
LATINA,40.40591410670645,-3.7504038495964656,INFRAESTRUCTURAS,"420731587,00",2024,Lucero,436326.3485428453,4473081.584337788
VILLA DE VALLECAS - VICÁLVARO,40.384167,-3.599444,URBANISMO,"3948558,88",2024,Casco Histórico de Vicálvaro,449119.38900667714,4470569.870063551
FUENCARRAL-EL PARDO,40.57311763290568,-3.704092292927805,INFRAESTRUCTURAS,"193705135,47",2024,El Goloso,440404.1326124128,4491609.004594359
USERA,40.364439,-3.700898,URBANISMO,"1000000,00",2024,Orcasur,440490.5885162723,4468443.4024279555
VICÁLVARO,40.3772222,-3.579722222222222,URBANISMO,"19628663,80",2024,Casco Histórico de Vicálvaro,450788.3232476364,4469787.846888726
VICÁLVARO,40.3879964,-3.56225647,URBANISMO,"11855905,06",2024,Casco Histórico de Vicálvaro,452278.5741831341,4470974.194194199
VILLA DE VALLECAS,40.34915068793722,-3.629223275768104,URBANISMO,"13923539,32",2024,Casco Histórico de Vallecas,446564.07086064096,4466700.677099426
VILLAVERDE,40.36002547,-3.71601781,URBANISMO,"8166463,91",2024,"Villaverde Alto, Casco Histórico de Villaverde",439202.87240742386,4467963.787713999
USERA,40.36457818,-3.71745381,URBANISMO,"3804764,27",2024,Orcasitas,439085.0387703313,4468470.120003895
FUENCARRAL-EL PARDO,40.48344430433375,-3.7371622180888417,URBANISMO,"2922264,48",2024,Fuentelarreina,437521.77543379343,4481678.000388059
CIUDAD LINEAL,40.4156699,-3.62947201,URBANISMO,"10761327,19",2024,Ventas,446595.50482467085,4474084.370973098
FUENCARRAL-EL PARDO,40.51908561970688,-3.667892213325621,URBANISMO,"6089051,08",2024,El Goloso,443422.7560350079,4485587.485718483
BARAJAS,40.4598772999941,-3.59238070185093,URBANISMO,"727526,77",2024,Alameda de Osuna,449775.2634067996,4478969.619679634
VICÁLVARO,40.4046979,-3.6091733,INFRAESTRUCTURAS,"2484782,35",2024,Casco Histórico de Vicálvaro,448309.2666068223,4472854.419384913
