Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM,anyo_timestamp
VILLAVERDE,40.354728,-3.702921,VIVIENDA,11176345.0,2020,Ángeles,440310.26115166815,4467366.8588489285,2020-01-01
VICÁLVARO,40.406674,-3.554058,VIVIENDA,10831273.0,2020,El Cañaveral,452987.4147542067,4473042.991081955,2020-01-01
VICÁLVARO,40.406681,-3.55427,VIVIENDA,10831273.0,2020,El Cañaveral,452969.4310434804,4473043.880856457,2020-01-01
VICÁLVARO,40.407221,-3.550798,VIVIENDA,10831273.0,2020,El Cañaveral,453264.4099937093,4473101.97860635,2020-01-01
VICÁLVARO,40.405652,-3.56171,VIVIENDA,8419896.0,2020,El Cañaveral,452337.4077450687,4472933.648344096,2020-01-01
VICÁLVARO,40.405013,-3.56258,VIVIENDA,8419906.0,2020,El Cañaveral,452263.1341019804,4472863.189555468,2020-01-01
VICÁLVARO,40.405559,-3.559543,VIVIENDA,8625033.0,2020,El Cañaveral,452521.2190775607,4472922.159183379,2020-01-01
VICÁLVARO,40.400465,-3.558319,VIVIENDA,8625033.0,2020,El Cañaveral,452621.5080614527,4472356.074417504,2020-01-01
VICÁLVARO,40.400904,-3.55998,VIVIENDA,4212785.0,2020,El Cañaveral,452480.864918406,4472405.6944415765,2020-01-01
VICÁLVARO,40.401244,-3.559669,VIVIENDA,4212785.0,2020,El Cañaveral,452507.4950257889,4472443.26689644,2020-01-01
VICÁLVARO,40.405876,-3.5551,VIVIENDA,8419896.0,2020,El Cañaveral,452898.4428880753,4472954.968729442,2020-01-01
SAN BLAS-CANILLEJAS,40.446189513951886,-3.6197618193996126,INVERSIONES DE CARÁCTER GENERAL,3637182.83,2020,El Salvador,447443.089689652,4477466.211657207,2020-01-01
VICÁLVARO,40.40927578819653,-3.603279589401199,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",2329862.64,2020,Casco Histórico de Vicálvaro,448812.8422544787,4473359.130633236,2020-01-01
SAN BLAS-CANILLEJAS,40.42965364963891,-3.6005187759065747,MANTENIMIENTO URBANO,1704063.93,2020,Rosas,449062.4654591502,4475619.463125198,2020-01-01
CENTRO,40.416764715664094,-3.699688118236328,URBANISMO,1956614.0,2020,Cortes,440639.2769353014,4474250.695307764,2020-01-01
RETIRO,40.4195,-3.687472,MEDIO AMBIENTE,1771746.0,2020,Los Jerónimos,441678.04832537327,4474546.176135547,2020-01-01
MONCLOA-ARAVACA,40.4325727195707,-3.737017063580201,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",3086749.8,2020,Casa de Campo,437486.94234168506,4476031.126294103,2020-01-01
CENTRO,40.40836266765931,-3.7065290605658863,EDUCACIÓN,2289692.35,2020,Embajadores,440051.4386951616,4473322.689880853,2020-01-01
FUENCARRAL-EL PARDO,40.49553852652329,-3.725235802891992,INFRAESTRUCTURAS,2297317.26,2020,Mirasierra,438543.64215921215,4483012.096199194,2020-01-01
MONCLOA-ARAVACA,40.4325727195707,-3.737017063580201,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",1900000.0,2020,Casa de Campo,437486.94234168506,4476031.126294103,2020-01-01
HORTALEZA,40.4850740456912,-3.66621437705966,INFRAESTRUCTURAS,1462136.3,2020,Valdefuentes,443536.3747861295,4481811.089532025,2020-01-01
PUENTE DE VALLECAS,40.38456668253675,-3.664754926188732,VIVIENDA,7902465.32,2020,San Diego,443576.1139527445,4470653.861013887,2020-01-01
PUENTE DE VALLECAS,40.384526,-3.665264,VIVIENDA,5957523.99,2020,San Diego,443532.8698709983,4470649.670258452,2020-01-01
VILLA DE VALLECAS,40.373504,-3.633394,VIVIENDA,7184116.0,2020,Casco Histórico de Vallecas,446229.2286905234,4469406.379622865,2020-01-01
ARGANZUELA,40.399545,-3.682813,VIVIENDA,6498987.03,2020,Atocha,442056.186962004,4472328.11903824,2020-01-01
PUENTE DE VALLECAS,40.385593,-3.66373,VIVIENDA,9088089.66,2020,Palomeras Bajas,443663.96461980685,4470767.127568319,2020-01-01
CARABANCHEL,40.363847,-3.751325,VIVIENDA,19470949.94,2020,Buenavista,436208.5112236598,4468412.834281608,2020-01-01
PUENTE DE VALLECAS,40.386301,-3.665212,VIVIENDA,7629861.0,2020,San Diego,443538.76580035366,4470846.660008817,2020-01-01
VILLA DE VALLECAS,40.373944,-3.63562,VIVIENDA,9019612.0,2020,Casco Histórico de Vallecas,446040.6064007297,4469456.574633213,2020-01-01
VILLA DE VALLECAS,40.37354,-3.634911,VIVIENDA,7267886.0,2020,Casco Histórico de Vallecas,446100.4737052022,4469411.298924962,2020-01-01
VILLA DE VALLECAS,40.373781,-3.634091,VIVIENDA,7267885.0,2020,Casco Histórico de Vallecas,446170.2782426851,4469437.550181093,2020-01-01
VICÁLVARO,40.400705,-3.559247,VIVIENDA,8630555.0,2020,El Cañaveral,452542.9268713023,4472383.211911168,2020-01-01
VICÁLVARO,40.402459,-3.561951,VIVIENDA,7604196.0,2020,El Cañaveral,452314.704951139,4472579.358982846,2020-01-01
USERA,40.3711334,-3.6954568,CULTURA,4024761.47,2020,Orcasur,440958.4168031349,4469182.825503132,2020-01-01
MONCLOA-ARAVACA - CENTRO,40.42178207,-3.71204071,URBANISMO,59457701.11,2020,Palacio,439595.776577099,4474815.991054545,2020-01-01
VICÁLVARO,40.386389,-3.575556,MEDIO AMBIENTE,27676819.4,2020,Casco Histórico de Vicálvaro,451148.61130450055,4470803.03778882,2020-01-01
VICÁLVARO,40.37375603346773,-3.5974301000917963,MEDIO AMBIENTE,7612616.03,2020,Casco Histórico de Vicálvaro,449282.5226830786,4469413.111669577,2020-01-01
VICÁLVARO,40.37320354825461,-3.559946239932372,MEDIO AMBIENTE,2711886.22,2020,Casco Histórico de Vicálvaro,452464.25906007807,4469330.967017002,2020-01-01
VILLA DE VALLECAS,40.3632843,-3.6075912,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",9759050.81,2020,Ensanche de Vallecas,448411.9299577536,4468256.642958118,2020-01-01
VICÁLVARO,40.4021037,-3.6037268,CULTURA,7896165.57,2020,Casco Histórico de Vicálvaro,448769.45946570265,4472563.294975396,2020-01-01
CENTRO,40.411993428490256,-3.696014243112221,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",26180683.51,2020,Cortes,440946.79553296906,4473718.623317758,2020-01-01
PUENTE DE VALLECAS,40.4040032,-3.6596165,URBANISMO,5160696.29,2020,Numancia,444028.3592071529,4472808.028842717,2020-01-01
CENTRO,40.4113817,-3.7109359,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",10585938.71,2020,Palacio,439680.2135945678,4473660.79932744,2020-01-01
