Barrio,anyo,Indicador,valor_indicador
PAVONES,2018,num_hosteleria,22.0
CASCO H.BARAJAS,2018,num_hosteleria,92.0
BUTARQUE,2018,num_hosteleria,50.0
ALMENDRALES,2018,num_hosteleria,113.0
TRAFALGAR,2018,num_hosteleria,311.0
PALOS DE LA FRONTERA,2018,num_hosteleria,0.0
PALOS DE MOGUER,2018,num_hosteleria,215.0
VALDEFUENTES,2018,num_hosteleria,143.0
MOSCARDO,2018,num_hosteleria,151.0
LOS ROSALES,2018,num_hosteleria,141.0
PRADOLONGO,2018,num_hosteleria,121.0
VENTAS,2018,num_hosteleria,193.0
LOS JERONIMOS,2018,num_hosteleria,101.0
AEROPUERTO,2018,num_hosteleria,89.0
VISTA ALEGRE,2018,num_hosteleria,309.0
ORCASITAS,2018,num_hosteleria,56.0
LEGAZPI,2018,num_hosteleria,96.0
SAN DIEGO,2018,num_hosteleria,224.0
FUENTELARREINA,2018,num_hosteleria,3.0
EL PARDO,2018,num_hosteleria,43.0
ADELFAS,2018,num_hosteleria,66.0
CAMPAMENTO,2018,num_hosteleria,56.0
LA PAZ,2018,num_hosteleria,106.0
ENTREVIAS,2018,num_hosteleria,150.0
CASCO H.VICALVARO,2018,num_hosteleria,153.0
PROSPERIDAD,2018,num_hosteleria,213.0
BERRUGUETE,2018,num_hosteleria,114.0
ALMAGRO,2018,num_hosteleria,244.0
LOS CARMENES,2018,num_hosteleria,60.0
LUCERO,2018,num_hosteleria,139.0
GAZTAMBIDE,2018,num_hosteleria,251.0
COSTILLARES,2018,num_hosteleria,71.0
ARAPILES,2018,num_hosteleria,196.0
SAN ANDRES,2018,num_hosteleria,218.0
CUATRO VIENTOS,2018,num_hosteleria,12.0
ROSAS,2018,num_hosteleria,123.0
TIMON,2018,num_hosteleria,53.0
PEÑAGRANDE,2018,num_hosteleria,0.0
SAN CRISTOBAL,2018,num_hosteleria,53.0
PALOMERAS SURESTE,2018,num_hosteleria,140.0
