Barrio,anyo,anyo_timestamp,Indicador,valor_indicador
Abrantes,2020,2020-01-01,Inversion,0.0
Acacias,2020,2020-01-01,Inversion,0.0
Adelfas,2020,2020-01-01,Inversion,0.0
Aeropuerto,2020,2020-01-01,Inversion,0.0
Alameda de Osuna,2020,2020-01-01,Inversion,0.0
Almagro,2020,2020-01-01,Inversion,0.0
Almenara,2020,2020-01-01,Inversion,0.0
Almendrales,2020,2020-01-01,Inversion,0.0
Aluche,2020,2020-01-01,Inversion,0.0
Amposta,2020,2020-01-01,Inversion,3067650.18
Apóstol Santiago,2020,2020-01-01,Inversion,0.0
Arapiles,2020,2020-01-01,Inversion,2869875.42
Aravaca,2020,2020-01-01,Inversion,4578249.12
Arcos,2020,2020-01-01,Inversion,0.0
Argüelles,2020,2020-01-01,Inversion,0.0
Atalaya,2020,2020-01-01,Inversion,0.0
Atocha,2020,2020-01-01,Inversion,6498987.03
Bellas Vistas,2020,2020-01-01,Inversion,0.0
Berruguete,2020,2020-01-01,Inversion,0.0
Buenavista,2020,2020-01-01,Inversion,24120949.94
Butarque,2020,2020-01-01,Inversion,8554239.84
Campamento,2020,2020-01-01,Inversion,0.0
Canillas,2020,2020-01-01,Inversion,4645587.48
Canillejas,2020,2020-01-01,Inversion,0.0
Casa de Campo,2020,2020-01-01,Inversion,9386302.36
Casco Histórico de Barajas,2020,2020-01-01,Inversion,2350093.0
Casco Histórico de Vallecas,2020,2020-01-01,Inversion,99111103.31
Casco Histórico de Vicálvaro,2020,2020-01-01,Inversion,0.0
Castellana,2020,2020-01-01,Inversion,0.0
Castilla,2020,2020-01-01,Inversion,0.0
Castillejos,2020,2020-01-01,Inversion,0.0
Chopera,2020,2020-01-01,Inversion,5762888.95
Ciudad Jardín,2020,2020-01-01,Inversion,0.0
Ciudad Universitaria,2020,2020-01-01,Inversion,3500000.0
Colina,2020,2020-01-01,Inversion,0.0
Comillas,2020,2020-01-01,Inversion,0.0
Corralejos,2020,2020-01-01,Inversion,0.0
Cortes,2020,2020-01-01,Inversion,28137297.51
Costillares,2020,2020-01-01,Inversion,0.0
Cuatro Caminos,2020,2020-01-01,Inversion,0.0
Cuatro Vientos,2020,2020-01-01,Inversion,0.0
Delicias,2020,2020-01-01,Inversion,0.0
El Cañaveral,2020,2020-01-01,Inversion,102713904.0
El Goloso,2020,2020-01-01,Inversion,5250000.0
El Pardo,2020,2020-01-01,Inversion,0.0
El Plantío,2020,2020-01-01,Inversion,0.0
El Salvador,2020,2020-01-01,Inversion,0.0
El Viso,2020,2020-01-01,Inversion,0.0
Embajadores,2020,2020-01-01,Inversion,2289692.35
Ensanche de Vallecas,2020,2020-01-01,Inversion,18712726.67
Entrevías,2020,2020-01-01,Inversion,1901228.42
Estrella,2020,2020-01-01,Inversion,0.0
Fontarrón,2020,2020-01-01,Inversion,0.0
Fuente del Berro,2020,2020-01-01,Inversion,0.0
Fuentelarreina,2020,2020-01-01,Inversion,0.0
Gaztambide,2020,2020-01-01,Inversion,0.0
Goya,2020,2020-01-01,Inversion,0.0
Guindalera,2020,2020-01-01,Inversion,0.0
Hellín,2020,2020-01-01,Inversion,0.0
Hispanoamérica,2020,2020-01-01,Inversion,0.0
Horcajo,2020,2020-01-01,Inversion,0.0
Ibiza,2020,2020-01-01,Inversion,0.0
Imperial,2020,2020-01-01,Inversion,61000000.0
Justicia,2020,2020-01-01,Inversion,0.0
La Concepción,2020,2020-01-01,Inversion,0.0
La Paz,2020,2020-01-01,Inversion,0.0
Legazpi,2020,2020-01-01,Inversion,2679921.37
Lista,2020,2020-01-01,Inversion,0.0
Los Cármenes,2020,2020-01-01,Inversion,0.0
Los Jerónimos,2020,2020-01-01,Inversion,0.0
Los Rosales,2020,2020-01-01,Inversion,0.0
Lucero,2020,2020-01-01,Inversion,0.0
Marroquina,2020,2020-01-01,Inversion,10407893.0
Media Legua,2020,2020-01-01,Inversion,3684370.34
Mirasierra,2020,2020-01-01,Inversion,5647317.26
Moscardó,2020,2020-01-01,Inversion,0.0
Niño Jesús,2020,2020-01-01,Inversion,0.0
Nueva España,2020,2020-01-01,Inversion,0.0
Numancia,2020,2020-01-01,Inversion,5160696.29
Opañel,2020,2020-01-01,Inversion,0.0
Orcasitas,2020,2020-01-01,Inversion,0.0
Orcasur,2020,2020-01-01,Inversion,4024761.47
Pacífico,2020,2020-01-01,Inversion,5279030.26
Palacio,2020,2020-01-01,Inversion,73793639.82
Palomas,2020,2020-01-01,Inversion,0.0
Palomeras Bajas,2020,2020-01-01,Inversion,23764083.89
Palomeras Sureste,2020,2020-01-01,Inversion,0.0
Palos de la Frontera,2020,2020-01-01,Inversion,0.0
Pavones,2020,2020-01-01,Inversion,0.0
Peñagrande,2020,2020-01-01,Inversion,0.0
Pilar,2020,2020-01-01,Inversion,0.0
Pinar del Rey,2020,2020-01-01,Inversion,0.0
Piovera,2020,2020-01-01,Inversion,0.0
Portazgo,2020,2020-01-01,Inversion,0.0
Pradolongo,2020,2020-01-01,Inversion,0.0
Prosperidad,2020,2020-01-01,Inversion,0.0
Pueblo Nuevo,2020,2020-01-01,Inversion,4550000.0
Puerta Bonita,2020,2020-01-01,Inversion,0.0
Puerta del Ángel,2020,2020-01-01,Inversion,0.0
Quintana,2020,2020-01-01,Inversion,0.0
Recoletos,2020,2020-01-01,Inversion,0.0
Rejas,2020,2020-01-01,Inversion,0.0
Rosas,2020,2020-01-01,Inversion,1704063.93
Ríos Rosas,2020,2020-01-01,Inversion,0.0
San Cristóbal,2020,2020-01-01,Inversion,0.0
San Diego,2020,2020-01-01,Inversion,23561946.290000003
San Fermín,2020,2020-01-01,Inversion,0.0
San Isidro,2020,2020-01-01,Inversion,0.0
San Juan Bautista,2020,2020-01-01,Inversion,0.0
San Pascual,2020,2020-01-01,Inversion,9343736.33
Santa Eugenia,2020,2020-01-01,Inversion,0.0
Simancas,2020,2020-01-01,Inversion,0.0
Sol,2020,2020-01-01,Inversion,0.0
Timón,2020,2020-01-01,Inversion,0.0
Trafalgar,2020,2020-01-01,Inversion,0.0
Universidad,2020,2020-01-01,Inversion,0.0
Valdeacederas,2020,2020-01-01,Inversion,0.0
Valdebernardo,2020,2020-01-01,Inversion,0.0
Valdefuentes,2020,2020-01-01,Inversion,1462136.3
Valdemarín,2020,2020-01-01,Inversion,0.0
Valderrivas,2020,2020-01-01,Inversion,0.0
Valdezarza,2020,2020-01-01,Inversion,0.0
Vallehermoso,2020,2020-01-01,Inversion,0.0
Valverde,2020,2020-01-01,Inversion,68450000.0
Ventas,2020,2020-01-01,Inversion,0.0
Villaverde Alto - Casco Histórico de Villaverde,2020,2020-01-01,Inversion,0.0
Vinateros,2020,2020-01-01,Inversion,0.0
Vista Alegre,2020,2020-01-01,Inversion,3658956.91
Zofío,2020,2020-01-01,Inversion,5170698.8
Águilas,2020,2020-01-01,Inversion,0.0
Ángeles,2020,2020-01-01,Inversion,0.0
Abrantes,2021,2021-01-01,Inversion,0.0
Acacias,2021,2021-01-01,Inversion,1530972.0
Adelfas,2021,2021-01-01,Inversion,0.0
Aeropuerto,2021,2021-01-01,Inversion,135725055.32
Alameda de Osuna,2021,2021-01-01,Inversion,3672230.89
Almagro,2021,2021-01-01,Inversion,0.0
Almenara,2021,2021-01-01,Inversion,0.0
Almendrales,2021,2021-01-01,Inversion,0.0
Aluche,2021,2021-01-01,Inversion,0.0
Amposta,2021,2021-01-01,Inversion,4050826.82
Apóstol Santiago,2021,2021-01-01,Inversion,0.0
Arapiles,2021,2021-01-01,Inversion,5660677.42
Aravaca,2021,2021-01-01,Inversion,7562329.99
Arcos,2021,2021-01-01,Inversion,2000000.0
Argüelles,2021,2021-01-01,Inversion,0.0
Atalaya,2021,2021-01-01,Inversion,0.0
Atocha,2021,2021-01-01,Inversion,0.0
Bellas Vistas,2021,2021-01-01,Inversion,0.0
Berruguete,2021,2021-01-01,Inversion,0.0
Buenavista,2021,2021-01-01,Inversion,33196391.52
Butarque,2021,2021-01-01,Inversion,7884115.72
Campamento,2021,2021-01-01,Inversion,1853296.9
Canillas,2021,2021-01-01,Inversion,6201254.98
Canillejas,2021,2021-01-01,Inversion,0.0
Casa de Campo,2021,2021-01-01,Inversion,19402934.0
Casco Histórico de Barajas,2021,2021-01-01,Inversion,2350093.0
Casco Histórico de Vallecas,2021,2021-01-01,Inversion,159938599.67
Casco Histórico de Vicálvaro,2021,2021-01-01,Inversion,0.0
Castellana,2021,2021-01-01,Inversion,0.0
Castilla,2021,2021-01-01,Inversion,1400000.0
Castillejos,2021,2021-01-01,Inversion,0.0
Chopera,2021,2021-01-01,Inversion,9670784.67
Ciudad Jardín,2021,2021-01-01,Inversion,0.0
Ciudad Universitaria,2021,2021-01-01,Inversion,5050009.0
Colina,2021,2021-01-01,Inversion,0.0
Comillas,2021,2021-01-01,Inversion,1489015.0
Corralejos,2021,2021-01-01,Inversion,0.0
Cortes,2021,2021-01-01,Inversion,24690435.679
Costillares,2021,2021-01-01,Inversion,0.0
Cuatro Caminos,2021,2021-01-01,Inversion,0.0
Cuatro Vientos,2021,2021-01-01,Inversion,0.0
Delicias,2021,2021-01-01,Inversion,0.0
El Cañaveral,2021,2021-01-01,Inversion,169854051.33
El Goloso,2021,2021-01-01,Inversion,5030819.28
El Pardo,2021,2021-01-01,Inversion,0.0
El Plantío,2021,2021-01-01,Inversion,0.0
El Salvador,2021,2021-01-01,Inversion,0.0
El Viso,2021,2021-01-01,Inversion,10620000.0
Embajadores,2021,2021-01-01,Inversion,2482030.95
Ensanche de Vallecas,2021,2021-01-01,Inversion,31460155.05
Entrevías,2021,2021-01-01,Inversion,28358398.23
Estrella,2021,2021-01-01,Inversion,0.0
Fontarrón,2021,2021-01-01,Inversion,0.0
Fuente del Berro,2021,2021-01-01,Inversion,0.0
Fuentelarreina,2021,2021-01-01,Inversion,0.0
Gaztambide,2021,2021-01-01,Inversion,0.0
Goya,2021,2021-01-01,Inversion,0.0
Guindalera,2021,2021-01-01,Inversion,2400000.0
Hellín,2021,2021-01-01,Inversion,2151484.88
Hispanoamérica,2021,2021-01-01,Inversion,0.0
Horcajo,2021,2021-01-01,Inversion,0.0
Ibiza,2021,2021-01-01,Inversion,0.0
Imperial,2021,2021-01-01,Inversion,60207466.0
Justicia,2021,2021-01-01,Inversion,0.0
La Concepción,2021,2021-01-01,Inversion,1746324.51
La Paz,2021,2021-01-01,Inversion,0.0
Legazpi,2021,2021-01-01,Inversion,7065565.65
Lista,2021,2021-01-01,Inversion,0.0
Los Cármenes,2021,2021-01-01,Inversion,0.0
Los Jerónimos,2021,2021-01-01,Inversion,0.0
Los Rosales,2021,2021-01-01,Inversion,0.0
Lucero,2021,2021-01-01,Inversion,4350000.0
Marroquina,2021,2021-01-01,Inversion,4651636.6
Media Legua,2021,2021-01-01,Inversion,4915770.56
Mirasierra,2021,2021-01-01,Inversion,5264379.74
Moscardó,2021,2021-01-01,Inversion,0.0
Niño Jesús,2021,2021-01-01,Inversion,0.0
Nueva España,2021,2021-01-01,Inversion,0.0
Numancia,2021,2021-01-01,Inversion,6296296.91
Opañel,2021,2021-01-01,Inversion,0.0
Orcasitas,2021,2021-01-01,Inversion,1400000.0
Orcasur,2021,2021-01-01,Inversion,4028298.49
Pacífico,2021,2021-01-01,Inversion,8954912.26
Palacio,2021,2021-01-01,Inversion,88882399.85000001
Palomas,2021,2021-01-01,Inversion,0.0
Palomeras Bajas,2021,2021-01-01,Inversion,21087776.03
Palomeras Sureste,2021,2021-01-01,Inversion,0.0
Palos de la Frontera,2021,2021-01-01,Inversion,0.0
Pavones,2021,2021-01-01,Inversion,0.0
Peñagrande,2021,2021-01-01,Inversion,0.0
Pilar,2021,2021-01-01,Inversion,0.0
Pinar del Rey,2021,2021-01-01,Inversion,0.0
Piovera,2021,2021-01-01,Inversion,0.0
Portazgo,2021,2021-01-01,Inversion,0.0
Pradolongo,2021,2021-01-01,Inversion,1530972.0
Prosperidad,2021,2021-01-01,Inversion,0.0
Pueblo Nuevo,2021,2021-01-01,Inversion,6822426.26
Puerta Bonita,2021,2021-01-01,Inversion,0.0
Puerta del Ángel,2021,2021-01-01,Inversion,0.0
Quintana,2021,2021-01-01,Inversion,0.0
Recoletos,2021,2021-01-01,Inversion,10511610.304
Rejas,2021,2021-01-01,Inversion,0.0
Rosas,2021,2021-01-01,Inversion,0.0
Ríos Rosas,2021,2021-01-01,Inversion,0.0
San Cristóbal,2021,2021-01-01,Inversion,0.0
San Diego,2021,2021-01-01,Inversion,51903334.0
San Fermín,2021,2021-01-01,Inversion,0.0
San Isidro,2021,2021-01-01,Inversion,3684983.99
San Juan Bautista,2021,2021-01-01,Inversion,0.0
San Pascual,2021,2021-01-01,Inversion,10552463.67
Santa Eugenia,2021,2021-01-01,Inversion,0.0
Simancas,2021,2021-01-01,Inversion,0.0
Sol,2021,2021-01-01,Inversion,15178772.0
Timón,2021,2021-01-01,Inversion,0.0
Trafalgar,2021,2021-01-01,Inversion,0.0
Universidad,2021,2021-01-01,Inversion,3930789.81
Valdeacederas,2021,2021-01-01,Inversion,3100000.0
Valdebernardo,2021,2021-01-01,Inversion,0.0
Valdefuentes,2021,2021-01-01,Inversion,9359834.55
Valdemarín,2021,2021-01-01,Inversion,0.0
