Barrio,anyo,Inversion,airbnb,Superficie (Ha.),Población densidad (hab./Ha.),Tasa bruta de natalidad (‰),Población en etapas educativas,Tasa de crecimiento demográfico (porcentaje),Porcentaje de envejecimiento (Población mayor de 65 años/Población total),Paro registrado (número de personas registradas en SEPE en febrero),Tamaño medio del hogar,Valor catastral medio por inmueble de uso residencial,Hogares con un hombre solo mayor de 65 años,Hogares con una mujer sola mayor de 65 años,Edad media de la población,Número Habitantes,Población Mujeres,Total hogares,Personas con nacionalidad española,Personas con nacionalidad extranjera,Renta neta media anual de los hogares (Urban Audit),num_hogar_monoparental,anyo_timestamp,poblacion_noEstudios,poblacion_estudios_medios,poblacion_estudios_superiores,precio_vivienda
Abrantes,2020,0.0,3,156.0,196.0,8.43,5029,3.21,17.95,1985,2.79,60160.0,264,1137,42.54,30739,16439,11036,24709,6030,28513.0,311,2020-01-01,5037,13210,4237,1901.37
Acacias,2020,0.0,44,107.0,343.0,6.42,3958,0.09,22.68,1540,2.38,118642.0,428,1490,46.43,36785,19842,15442,34207,2577,45516.0,290,2020-01-01,2988,11473,12591,4646.78
Adelfas,2020,0.0,20,64.0,288.0,8.2,2516,0.7,21.28,718,2.43,137096.0,186,685,44.98,18474,9942,7613,17171,1303,46145.0,179,2020-01-01,349,5752,6292,4540.71
Aeropuerto,2020,0.0,0,2963.0,0.62,12.07,292,3.13,15.07,102,2.69,53053.0,22,56,41.71,1851,899,687,1474,377,25366.0,19,2020-01-01,328,892,187,0.0
Alameda de Osuna,2020,0.0,9,197.0,99.0,5.8,3256,0.41,25.63,590,2.69,140183.0,233,600,44.98,19526,10135,7249,18422,1104,52966.0,241,2020-01-01,896,1577,7495,2961.24
Almagro,2020,0.0,48,94.0,211.0,8.69,2319,0.04,23.89,486,2.45,289473.0,283,865,46.18,19807,11081,8080,17129,2678,69963.0,160,2020-01-01,826,3411,9684,6345.97
Almenara,2020,0.0,22,100.0,227.0,8.17,2742,0.98,19.87,1632,2.43,112689.0,287,859,44.64,22642,12328,9324,19381,3261,29675.0,195,2020-01-01,3567,8758,5506,3203.9
Almendrales,2020,0.0,21,78.0,275.0,9.15,3277,2.14,16.29,1415,2.8,66297.0,206,780,41.83,21439,11396,7646,15570,5869,25887.0,183,2020-01-01,3907,7601,1362,2023.67
Aluche,2020,0.0,15,285.0,233.0,6.71,7562,0.59,29.91,3159,2.49,74416.0,961,3444,48.49,66351,35900,26603,55711,10637,31245.0,503,2020-01-01,3611,22066,9319,2178.89
Amposta,2020,3067650.18,1,37.0,232.0,10.64,1301,2.71,19.37,759,2.55,47455.0,112,398,43.84,8575,4607,3361,7197,1378,21962.0,96,2020-01-01,1854,4012,721,1690.79
Apóstol Santiago,2020,0.0,5,121.0,128.0,6.39,1957,0.96,20.77,781,2.66,118335.0,169,607,45.36,15418,8128,5797,14015,1403,37313.0,134,2020-01-01,1726,6348,3815,3151.26
Arapiles,2020,2869875.42,38,58.0,423.0,8.03,2614,0.49,24.09,841,2.18,142713.0,376,1416,46.11,24455,13567,11195,21709,2746,42935.0,192,2020-01-01,1579,7002,11453,5661.02
