Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2021;Importe 2022;Importe 2023;Importe 2024;Resto Anualidades;Total previsto;Estado;Observaciones;Url_Fotografia;Fecha de los datos
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS ADECUACIÓN Y MEJORA;2020;2025;;221;BARAJAS;Camino De La Muñoza;Camino;De La Muñoza;;'40.451781227823200;'-3.535458209657420;9;MEDIO AMBIENTE;58320,2;1456491;16000000;18000000;19300000;15000000;69814811,2;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;2020;2025;;221;BARAJAS;Carretera Antigua De Paracuellos De Jarama, 44;Carretera;Antigua De Paracuellos De Jarama;44;'40.4944431;'-3.5501484;9;MEDIO AMBIENTE;53753,12;1456491;15000000;18000000;18400000;13000000;65910244,12;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;31;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 41B;2020;2024;;219;VICÁLVARO;Contrucción Calle Cerro Del Tesoro, 31;Calle;Cerro del Tesoro;31;'40.4069441;'-3.5531687;15;VIVENDA;165542,26;739537,79;5718613,37;4000000;6937226,74;0;17560920,16;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;29;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 39A;2020;2024;;219;VICÁLVARO;Contrucción Calle Diálogo, 79;Calle;Calle Diálogo;79;'40.4067067;'-3.5560424;15;VIVENDA;147045,54;739537,79;5718613,37;5000000;5937226,74;0;17542423,44;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;30;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 39B;2020;2024;;219;VICÁLVARO;Contrucción Calle Diálogo, 63;Calle;Calle Diálogo;63;'40.4067044;'-3.556465;15;VIVENDA;72321,99;739537,79;5718613,37;4000000;6937226,74;0;17467699,89;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;38;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. T 10BC;2020;2025;;219;VICÁLVARO;Contrucción Calle Ilusión, 41;Calle;Ilusión;41;'40.405684;'-3.5572887;15;VIVENDA;653,4;100000;700000;1951788,71;6000000;6087506,99;14839949,1;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2016;2022;;219;VICÁLVARO;Inicio Del Cauce Del Arroyo En Ámbito Uzpp 2.04 Los Berrocales Hasta Las Inmediaciones De La A3;;Berrocales hasta las inmediaciones de la A3;;'40.37320354825460;'-3.5599462399323700;9;MEDIO AMBIENTE;109768,77;1840000;1700000;;;;3649768,77;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;35;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 5C;2020;2024;;219;VICÁLVARO;Contrucción Calle Arroyo Cañaveral, 75;Calle;Arroyo Cañaveral;75;'40.4002565;'-3.5605078;15;VIVENDA;653,4;150000;1437086,28;3074384,05;9709392,48;0;14371516,21;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;26;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO M5A;2019;2023;;219;VICÁLVARO;Contrucción Cl Enrique Urquijo, 90;Calle;Enrique Urquijo;90;'40.4006641;'-3.5614487;15;VIVENDA;127640,2;4648011,31;7004308,36;2000000;0;0;13779959,87;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;27;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN8 VICALVARO M5B;2019;2022;;219;VICÁLVARO;Contrucción Cl Francisco Grande Covian, 170;Calle;Grande Covian;170;'40.4014654;'-3.5614492;15;VIVENDA;102765,94;4417354,29;8448862,13;0;0;0;12968982,36;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;34;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. M 34B;2020;2024;;219;VICÁLVARO;Contrucción Avenida Miguel Delibes, 65;Avenida;Miguel Delibes;65;'40.405514;'-3.5615997;15;VIVENDA;653,4;150000;1437086,27;3520945,33;9262831,19;0;14371516,19;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;37;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VICALVARO. T 6B;2020;2024;;219;VICÁLVARO;Contrucción Calle Enrique Urquijo, 91;Calle;Enrique Urquijo;91;'40.4010441;'-3.5618687;15;VIVENDA;653,4;150000;968398,55;1500000;4801249,31;0;7420301,26;EN PROCESO;;;14/02/2022
