Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2022;Importe 2023;Importe 2024;Importe 2025;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2019/000302;CENTRO DE SERVICIOS SOCIALES SAN DIEGO. AMPLIACIÓN;2019;2022;2022;213;PUENTE DE VALLECAS;CALLE JAVIER DE MIGUEL, 10 C/V SAN DIEGO,8 C/V PUERTO BONAIGUA;CALLE;CALLE JAVIER DE MIGUEL, 10 C/V SAN DIEGO,8 C/V PUERTO BONAIGUA;;403.886.611;-36.658.291;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1.378.420,91;1543205;;;;;2.921.625,91;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-000302_CSS._SAN_DIEGO._AMPLIACION.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2017/007121;PARQUE SAN ISIDRO. REHABILITACIÓN (ID 17: 4302);2017;2022;2022;211;CARABANCHEL;PASEO 15 DE MAYO Y PASEO ERMITA DEL SANTO C/V CALLE VÍA CARPETANA;PASEO;PASEO 15 DE MAYO Y PASEO ERMITA DEL SANTO C/V CALLE VÍA CARPETANA;;404.006.829;-37.272.645;9;MEDIO AMBIENTE;203.400,54;3019590;;;;;3.222.990,54;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2017-007121_PARQUE_SAN_ISIDRO.jpg;23/02/2023
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000597;CENTRO DE SERVICIOS SOCIALES EN SAN BLAS, C/POBLADURA DEL VALLE, 13. CONSTRUCCIÓN;2018;2022;2022;220;SAN BLAS-CANILLEJAS;CALLEPOBLADURA DEL VALLE, 13;CALLE;POBLADURA DEL VALLE;13;404.263.129;-36.220.081;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;2.769.554,56;186164;;;;;2.955.718,56;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2017-000597_CSS_POBLADURA_DEL_VALLE.jpg;23/02/2023
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000191;PISCINA CUBIERTA C/CEA BERMUDEZ. CONSTRUCCIÓN;2018;2022;2022;207;CHAMBERÍ;CALLE CEA BERMUDEZ 3 Y 5;CALLE;CEA BERMUDEZ;3 y 5;404.385.953;-37.083.185;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;4.834.596,50;2237542,89;;;;;4.834.596,50;FINALIZADO;Importe 2022 es el crédito definitivo contabilizado a 31.12.2022;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2017-000191_PISCINA_CUBIERTA_CEA_BERMUDEZ.jpg;23/02/2023
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000189;UNIDAD INTEGRAL POLICÍA DISTRITO RETIRO Y BASE DEL SAMUR. CONSTRUCCIÓN;2017;2022;2022;203;RETIRO;CALLE HOYUELO, 7;CALLE;HOYUELO;7;404.009.974;-36.784.228;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;3.868.149,27;1418815;;;;;5.286.964,27;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2017-000189_UID_POLICIA_Y_(SAMUR)_RETIRO.jpg;23/02/2023
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000724;PASARELA PEATONAL ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELES DESDE Bº DE BUTARQUE;2018;2022;2022;217;VILLAVERDE;ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELE;;ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELE;;403.403.167;-36.832.757;7;INFRAESTRUCTURAS;1.610.836,90;1294554;;;;;2.905.390,90;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2016-000724_PASARELA_CERCANIAS_SAN_CRISTOBAL.jpg;23/02/2023
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000538;CENTRO DE SERVICIOS SOCIALES ENSANCHE DE VALLECAS. CONSTRUCCIÓN;2017;2022;2022;218;VILLA DE VALLECAS;AVENIDA ENSANCHE DE VALLECAS, 91;AVENIDA;ENSANCHE DE VALLECAS;91;403.624.877;-35.997.148;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;6.584.730,10;1187664,46;;;;;6.584.730,10;FINALIZADO;Importe 2022 es el crédito definitivo contabilizado a 31.12.2022;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2016-000538_CSS_ENSANCHE_DE_VALLECAS.jpg;23/02/2023
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000537;CENTRO JUVENIL ZOFIO. CONSTRUCCIÓN;2017;2022;2022;212;USERA;CALLE AVENA, 5 Y 7;CALLE;AVENA;5 y 7;4.037.754.434.245.920;-3.715.659.804.601.840;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;6.375.756,47;55000;;;;;6.430.756,47;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2016-000537_CENTRO_JUVENIL_ZOFIO.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000216;DRENAJE VÍA DE SERVICIO DE LA N-III A LA ALTURA DEL ENSANCHE DE VALLECAS;2016;2022;2022;219;VICÁLVARO;ÁMBITO UZPP 2.04 LOS BERROCALES;;ÁMBITO UZPP 2.04 LOS BERROCALES;;4.037.375.603.346.770;-35.974.301.000.917.900;9;MEDIO AMBIENTE;1.513.989,72;1757411;;;;;3.271.400,72;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2015-000216_DRENAJE_VIA_SERVICIO_N-III_ENSANCHE_VALLECAS.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000215;COLECTOR DOBLADO DE VICÁLVARO. CONSTRUCCIÓN;2016;2022;2022;219;VICÁLVARO;LOS BERROCALES. CARRETERA M-203, JUNTO A LA ERMITA ;;LOS BERROCALES. CARRETERA M-203, JUNTO A LA ERMITA;;40.386.389;-3.575.556;9;MEDIO AMBIENTE;10.486.151,63;3570164;;;;;14.056.315,63;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2015-000215_COLECTOR_DOBLADO_VICALVARO.jpg;23/02/2023
