Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado ;Importe 2023 (quito formato punto);Importe 2024;Importe 2025;Importe 2026;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;2021;2023;;212;USERA;PASEO SANTA MARÍA DE LA CABEZA, 95;PASEO DE;SANTA MARÍA DE LA CABEZA;95;403.922.859;-37.089.303;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;6771261,52;2398535,26;;;;;9169796,78;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;2021;2023;;207;CHAMBERÍ;CALLE DE SANTA ENGRACIA 116, 118 Y 120;CALLE;SANTA ENGRACIA;116, 118, 120;4.044.038.738.649.960;-37.007.173.334.334.200;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1554074,13;359089,23;;;;;1913163,36;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;2021;2024;;202;ARGANZUELA;C/PLOMO, 14;CALLE;PLOMO;14;4.039.281.490.540.310;-3.689.732.618.094.450;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;6215082,2;2091917,83;995000;;;;9302000,03;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000418;BASE 0 SAMUR-PROTECCIÓN CIVIL. OBRAS DE REFORMA;2022;2023;2023;209;MONCLOA-ARAVACA;RONDA DE LAS PROVINCIAS, 7;RONDA;DE LAS PRONVINCIAS;7;4.041.176.384.535.080;-3.743.862.787.553.560;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;749670,22;1753326,17;;;;;2502996,39;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2022-000418_FotoBase0Reformas.jpg;05/01/2024
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2022/000425;PARQUE 9 BOMBEROS. OBRAS PARA INSTALACIÓN DE CAMPA PROVISIONAL;2022;2023;2023;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;4.048.022.515.029.220;-36.996.125.875.510.900;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1708903,51;1320526,74;;;;;3029430,25;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2022-000425_CampaParque9º.jpg;05/01/2024
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/000384;ESCUADRÓN DE LA POLICÍA MUNICIPAL. OBRAS REFORMA DE LA CANTINA;2023;2024;;209;MONCLOA-ARAVACA;CARRETERA DEL PARDO, 3;CARRETERA;DEL PARDO;3;4.047.745.229.980.590;-37.513.272.182.341.100;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;;1100000;;;;1100000;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/001530;PARQUE DE BOMBEROS Nº 9. OBRAS REFORMA Y AMPLIACIÓN EN SÓTANO, EDIFICIO GIMNASIO Y COCHERAS TRASERAS;2023;2025;;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;40.480.208.828.940.000;-369.961.258.755.109.000;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;151431,62;3428129;402153;;;3981713,62;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/000387;UNIDAD INTEGRAL POLICÍA MUNICIPAL USERA. OBRAS DE REHABILITACIÓN;2023;2024;;212;USERA;C/DOCTOR TOLOSA LATOUR, 16;CALLE;DOCTOR TOLOSA LATOUR;16;403.759.435.930.581;-3.702.718.487.554.870;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;;1200000;;;;1200000;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";2018;2023;;221;BARAJAS;PASEO ALAMEDA DE OSUNA, 25;PASEO;ALAMEDA DE OSUNA;25;404.547.855;-36.019.412;10;CULTURA;2714294,83;2163782,7;;;;;4878077,53;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2019/000527;MUSEO DE SAN ISIDRO. OBRAS DE ADECUACIÓN PARA SOSTENIBILIDAD;2021;2024;;201;CENTRO;PLAZA SAN ANDRÉS, 2;PLAZA;SAN ANDRÉS;2;404.120.708;-37.132.821;10;CULTURA;108462,67;6931,13;1500000;;;;1615393,8;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
