Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado ;Importe 2024;Importe 2025;Importe 2026;Importe 2027;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos;;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/001041;EDIFICIO MADRID MASTER. SUBSANACIÓN DEFICIENCIAS INSPECCIÓN TÉCNICA DE EDIFICIOS;2023;2024;;209;MONCLOA-ARAVACA;AV.PRINCIPAL, 12;AVENIDA;PRINCIPAL;12;40.41497;-3.73946;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;99999,66;1419334,00;;;;;1519333,66;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/001333;PARQUE DE BOMBEROS Nº 5. REFORMA DEL CUERPO DELANTERO;2023;2024;;212;USERA;Pº SANTA MARÍA DE LA CABEZA, 95;PASEO;DE SANTA MARÍA DE LA CABEZA;95;40.39237;-3.70709;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;701017,70;2863950,00;;;;;3564967,70;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;2021;2024;;212;USERA;PASEO SANTA MARÍA DE LA CABEZA, 95;PASEO DE;SANTA MARÍA DE LA CABEZA;95;40.3922859;-3.7089303;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;9169795,45;1391867,00;;;;;10561662,45;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000402;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA Y ADECUACIÓN;2021;2024;;207;CHAMBERÍ;CALLE DE SANTA ENGRACIA 116, 118 Y 120;CALLE;SANTA ENGRACIA;116, 118, 120;40.44038738649969;-3.7007173334334205;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;1663022,22;287423,00;;;;;1950445,22;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000406;EDIFICIO POLICÍA MUNICIPAL C/ PLOMO, 14. OBRAS DE REHABILITACIÓN PARCIAL;2021;2024;;202;ARGANZUELA;C/PLOMO, 14;CALLE;PLOMO;14;40.39281490540317;-3.689732618094451;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;8306842,18;995000,00;;;;;9301842,18;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/000384;ESCUADRÓN DE LA POLICÍA MUNICIPAL. OBRAS REFORMA DE LA CANTINA;2024;2025;;209;MONCLOA-ARAVACA;CARRETERA DEL PARDO, 3;CARRETERA;DEL PARDO;3;40.47745229980593;-3.7513272182341164;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;;1100000,00;;;;1100000,00;EN PROCESO;Pendiente de habilitar Crédito en 2024;;06/02/2024;;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/000387;UNIDAD INTEGRAL POLICÍA MUNICIPAL USERA. OBRAS DE REHABILITACIÓN;2024;2025;;212;USERA;C/DOCTOR TOLOSA LATOUR, 16;CALLE;DOCTOR TOLOSA LATOUR;16;40.3759435930581 ;-3.702718487554872;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;;1200000,00;;;;1200000,00;EN PROCESO;Pendiente de habilitar Crédito en 2024;;06/02/2024;;;;
001;AYUNTAMIENTO;120;VICEALCALDÍA, PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2023/001530;PARQUE DE BOMBEROS Nº 9. OBRAS REFORMA Y AMPLIACIÓN EN SÓTANO, EDIFICIO GIMNASIO Y COCHERAS TRASERAS;2023;2025;;208;FUENCARRAL-EL PARDO;AVENIDA MONFORTE DE LEMOS, 20;AVENIDA;MONFORTE DE LEMOS;20;40.480208828940015 ;-3.69961258755109232;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;42512,81;3428129,00;402152,94;;;;3872794,75;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2023/001019;ARCO DE LA VICTORIA. OBRAS DE REPARACIÓN Y MEJORA;2023;2025;;209;MONCLOA-ARAVACA;AVENIDA DE LA MEMORIA, 32;AVENIDA;DE LA MEMORIA;32;40.435908;-3.720198;10;CULTURA;18016,71;139000,00;1061000,00;;;;1218016,71;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2023/001367;PALACIO CIBELES. SUBSANACIÓN DEFICIENCIA INSTALACIÓN ELÉCTRICA, PROTECCIÓN INCENDIOS Y CLIMATIZACIÓN;2023;2025;;203;RETIRO;PLAZA DE CIBELES, 1;PLAZA;DE CIBELES;1;40.418803;-3.69182;00;INVERSIONES DE CARÁCTER GENERAL;150078,10;1000000,00;951091,12;;;;2101169,22;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";2018;2024;;221;BARAJAS;PASEO ALAMEDA DE OSUNA, 25;PASEO;ALAMEDA DE OSUNA;25;40.4547855;-3.6019412;10;CULTURA;4874270,73;2833529,00;;;;;7707799,73;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000043;CASA DE VARGAS. REHABILITACIÓN CASA-PALACIO Y JARDÍN DE FELIPE II;2020;2025;;209;MONCLOA-ARAVACA;PASEO DEL EMBARCADERO, 2;PASEO DEL;DEL EMBARCADERO;2;40.4191125;-3.7256439;10;CULTURA;715616,61;;2500000,00;;;;3215616,61;EN PROCESO;Pendiente de habilitar Crédito en 2024;;06/02/2024;;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000419;PABELLÓN DE HEXÁGONOS CASA DE CAMPO. REHABILITACIÓN;2024;2025;;209;MONCLOA-ARAVACA;CALLE DE LOS HEXÁGONOS, 4;CALLE;DE LOS HEXÁGONOS;4;40.4126577;-3.7442902;10;CULTURA;;100000,00;2900000,00;;;;3000000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2021/000053;NAVE 15 MATADERO. OBRAS DE ACONDICIONAMIENTO;2021;2025;;202;ARGANZUELA;PLAZA DE LEGAZPI, 8;PLAZA;DE LEGAZPI;8;40.3917614508368 ;-3.6963276163896612;10;CULTURA;38478,00;90000,00;1810000,00;;;;1938478,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;131;DEPORTE;2023/000282;DEPORTIVO BÁSICO PARQUE LINEAL DEL MANZANARES. SUSTITUCIÓN DE CÉSPED;2024;2025;;212;USERA;CALLE EMBAJADORES S/N;CALLE;EMBAJADORES;S/N;40.374485;-3.685494;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;100000,00;1100000,00;;;;1200000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;131;DEPORTE;2022/001481;DEPORTIVO BÁSICO PIQUEÑAS. ADECUACIÓN CAMPO DE FÚTBOL CÉSPED ARTIFICIAL Y VESTUARIOS;2022;2025;;211;CARABANCHEL;C/ PINAR DE SAN JOSÉ C/V. C/ DE LA TORTA;CALLE;DEL PINAR DE SAN JOSÉ;64;40.360952;-3.768519;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;57109,00;150000,00;1792808,74;;;;1999917,74;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;131;DEPORTE;2022/001482;DEPORTIVO BÁSICO SANTA RITA. ADECUACIÓN CAMPO DE FÚTBOL CÉSPED ARTIFICIAL Y VESTUARIOS;2022;2025;;211;CARABANCHEL;C/ ALBA DE TORMES, 2;CALLE;DE ALBA DE TORMES;2;40.379236;-3.743367;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;7471,37;150000,00;1995228,63;;;;2152700,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2019/000791;SOTERRAMIENTO AUTOPISTA A5 Y PASEO VERDE DEL SUROESTE. CONSTRUCCIÓN;2019;2028;;210;LATINA;PASEO DE EXTREMADURA, 160 AL 350, 28024 MADRID;PASEO;DE EXTREMADURA;160-350;40.40591410670645;-3.7504038495964656;07;INFRAESTRUCTURAS;3702991,00;7028596,00;100000000,00;150000000,00;110000000,00;50000000,00;420731587,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000382;ÁMBITO CERRO ALMODÓVAR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2024;;218 (30%) - 219 (70%);VILLA DE VALLECAS - VICÁLVARO;"COORD_X   3° 35' 58,232"" W       COORD_Y  40° 23' 3,538"" N";;;;40.384167;-3.599444;06;URBANISMO;2748558,88;1200000,00;;;;;3948558,88;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2022/001489;MADRID NUEVO NORTE, NUDO DE FUENCARRAL. SOLUCIONES VIARIAS CONEXIÓN M-40, M-607 Y M-603;2022;2029;;208;FUENCARRAL-EL PARDO;CARRETERA DE COLMENAR VIEJO M-607, PK 13, 28049 MADRID;CARRETERA;COLMENAR VIEJO;13;40.57311763290568;-3.7040922929278053;07;INFRAESTRUCTURAS;505135,47;200000,00;1000000,00;35000000,00;70000000,00;87000000,00;193705135,47;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2024/001008;BARRIO DE ORCASUR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2024;2024;;212;USERA;CALLE ARENAS DEL REY;CALLE ;DE ARENAS DEL REY;;40.364439;-3.700898;06;URBANISMO;;1000000,00;;;;;1000000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2006/000375;SISTEMAS DE COMPENSACIÓN. UZP 2-04 LOS BERROCALES;2008;2024;;219;VICÁLVARO;LOS BERROCALES;;LOS BERROCALES;;40.3772222;-3.579722222222222;06;URBANISMO;19528663,80;100000,00;;;;;19628663,80;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2009/000488;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;2009;2024;;219;VICÁLVARO;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;;DESARROLLO DEL ESTE LOS AHIJONES;;40.3879964;-3.56225647;06;URBANISMO;10799905,06;1056000,00;;;;;11855905,06;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2010/000393;SUELO URBANIZABLE PROGRAMADO 3.01 DESARROLLO DEL ESTE VALDECARROS;2010;2024;;218;VILLA DE VALLECAS;PAU Valdecarros;;PAU Valdecarros;;40.34915068793722;-3.6292232757681036;06;URBANISMO;12791539,32;1132000,00;;;;;13923539,32;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2020/007076;ANILLO VERDE DE VILLAVERDE. EJECUCIÓN BOSQUE METROPOLITANO;2020;2024;;217;VILLAVERDE;ANILLO VERDE DE VILLAVERDE;;ANILLO VERDE DE VILLAVERDE;;40.36002547;-3.71601781;06;URBANISMO;6866463,91;1300000,00;;;;;8166463,91;EN PROCESO;;;06/02/2024;;;;
