C. Demografía y Población;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Padrón municipal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características de la población a 1 de enero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nivel de estudio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.6.1.B. Población de 25 y más años clasificada por Nivel de estudios según Distrito y Barrio, para cada Sexo (desde 1 de enero de 2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2020;Ciudad de Madrid;Ciudad de Madrid;2.579.317;12.628;104.393;283.547;576.498;101.740;100.074;394.783;46.879;146.667;47.862;562.368;20.942;177.892;3.044;1.172.241;4.093;36.003;111.966;262.084;51.913;57.853;189.870;17.483;47.070;36.479;261.250;11.316;83.583;1.278;1.407.076;8.535;68.390;171.581;314.414;49.827;42.221;204.913;29.396;99.597;11.383;301.118;9.626;94.309;1.766
1 de enero de 2020;01. Centro;01. Centro;120.241;321;2.971;8.630;19.006;2.982;3.753;18.175;2.410;6.945;1.989;36.765;1.752;14.457;85;61.087;119;1.202;3.769;10.022;1.682;2.308;9.916;1.210;2.910;1.466;18.299;1.011;7.136;37;59.154;202;1.769;4.861;8.984;1.300;1.445;8.259;1.200;4.035;523;18.466;741;7.321;48
1 de enero de 2020;01. Centro;011. Palacio;20.229;55;483;1.384;2.961;557;618;3.134;366;1.286;366;6.298;283;2.424;14;10.008;24;198;558;1.466;321;403;1.615;176;527;274;3.079;166;1.194;7;10.221;31;285;826;1.495;236;215;1.519;190;759;92;3.219;117;1.230;7
1 de enero de 2020;01. Centro;012. Embajadores;40.039;161;1.477;3.753;7.556;1.086;1.407;5.870;754;2.118;618;10.428;560;4.221;30;20.876;58;661;1.826;4.396;613;856;3.319;393;882;461;5.125;317;1.959;10;19.163;103;816;1.927;3.160;473;551;2.551;361;1.236;157;5.303;243;2.262;20
1 de enero de 2020;01. Centro;013. Cortes;9.287;15;159;515;1.173;202;267;1.454;185;539;165;3.190;140;1.281;2;4.635;2;43;209;595;114;150;786;80;214;124;1.584;84;650;0;4.652;13;116;306;578;88;117;668;105;325;41;1.606;56;631;2
1 de enero de 2020;01. Centro;014. Justicia;15.377;28;205;767;2.027;291;364;2.331;311;916;194;5.546;221;2.166;10;7.858;8;68;307;1.016;173;239;1.224;155;408;140;2.841;139;1.134;6;7.519;20;137;460;1.011;118;125;1.107;156;508;54;2.705;82;1.032;4
1 de enero de 2020;01. Centro;015. Universidad;28.743;48;531;1.806;4.192;701;902;4.255;626;1.726;540;9.289;436;3.667;24;14.304;19;187;693;2.013;380;540;2.315;322;709;397;4.633;243;1.842;11;14.439;29;344;1.113;2.179;321;362;1.940;304;1.017;143;4.656;193;1.825;13
1 de enero de 2020;01. Centro;016. Sol;6.566;14;116;405;1.097;145;195;1.131;168;360;106;2.014;112;698;5;3.406;8;45;176;536;81;120;657;84;170;70;1.037;62;357;3;3.160;6;71;229;561;64;75;474;84;190;36;977;50;341;2
1 de enero de 2020;02. Arganzuela;02. Arganzuela;124.720;183;2.768;9.674;20.350;3.746;4.919;19.281;2.235;9.431;3.299;34.906;1.190;12.593;145;56.956;71;846;3.419;8.805;1.947;2.984;9.829;969;3.077;2.548;16.012;662;5.725;62;67.764;112;1.922;6.255;11.545;1.799;1.935;9.452;1.266;6.354;751;18.894;528;6.868;83
1 de enero de 2020;02. Arganzuela;021. Imperial;18.471;22;393;1.473;2.680;600;730;2.984;335;1.434;511;5.240;193;1.846;30;8.356;11;112;485;1.134;292;434;1.498;147;467;389;2.398;114;861;14;10.115;11;281;988;1.546;308;296;1.486;188;967;122;2.842;79;985;16
1 de enero de 2020;02. Arganzuela;022. Acacias;30.106;44;624;2.364;4.399;847;1.126;4.649;452;2.487;803;8.932;245;3.069;65;13.608;22;173;851;1.833;436;683;2.413;173;807;631;4.017;137;1.402;30;16.498;22;451;1.513;2.566;411;443;2.236;279;1.680;172;4.915;108;1.667;35
