E. Edificación y Vivienda;;;;;;
Mercado de la vivienda;;;;;;
Compra-Venta de Viviendas;;;;;;
Estadística registral inmobiliaria: datos anuales por distritos;;;;;;
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda;;;;;;
;;2019;2020;2021;2022;2023
;;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2
;;Total;Total;Total;Total;Total
01. Centro;01. Centro;5.279,93;5.223,73;4.935,90;5.466,32;5.712,09
01. Centro;011. Palacio;5.075,34;5.034,49;4.851,23;5.410,14;5.659,44
01. Centro;012. Embajadores;4.481,49;4.585,04;4.300,67;4.624,29;4.825,25
01. Centro;013. Cortes;5.494,30;4.989,95;5.049,77;5.729,37;6.099,39
01. Centro;014. Justicia;5.950,71;6.229,04;6.166,20;6.919,11;7.568,22
01. Centro;015. Universidad;5.998,24;5.132,60;4.977,11;5.753,05;5.710,69
01. Centro;016. Sol;5.293,10;9.215,34;5.113,98;5.054,50;5.687,75
02. Arganzuela;02. Arganzuela;3.927,78;4.214,21;4.210,73;4.489,71;4.556,68
02. Arganzuela;021. Imperial;3.791,71;3.325,56;3.561,44;3.953,99;4.351,64
02. Arganzuela;022. Acacias;4.646,78;4.276,75;4.195,41;5.292,83;4.699,92
02. Arganzuela;023. Chopera;3.643,17;3.830,66;3.553,34;4.207,17;4.173,01
02. Arganzuela;024. Legazpi;4.608,48;5.493,48;4.375,25;4.768,29;5.137,80
02. Arganzuela;025. Delicias;3.845,47;4.516,38;3.898,72;4.376,40;4.338,14
02. Arganzuela;026. Palos de la Frontera;3.862,74;4.074,57;3.945,48;4.359,85;4.640,72
02. Arganzuela;027. Atocha;0;4.168,55;5.742,49;0;0
03. Retiro;03. Retiro;4.864,84;4.759,56;4.818,16;5.284,27;5.501,02
03. Retiro;031. Pacífico;4.269,03;4.113,30;4.172,72;4.390,07;4.756,30
03. Retiro;032. Adelfas;4.540,71;4.258,40;4.465,68;4.381,49;4.412,55
03. Retiro;033. Estrella;4.076,81;4.010,22;4.008,15;4.760,98;4.446,83
03. Retiro;034. Ibiza;5.469,24;5.508,11;5.556,97;6.060,71;6.694,29
03. Retiro;035. Los Jerónimos;6.715,19;6.653,21;6.623,76;7.904,28;7.785,27
03. Retiro;036. Niño Jesús;5.524,82;5.080,49;5.415,86;5.894,47;5.875,44
04. Salamanca;04. Salamanca;5.857,87;5.511,90;5.737,17;6.496,29;7.332,40
04. Salamanca;041. Recoletos;8.553,75;8.254,50;8.348,93;10.436,44;11.905,33
04. Salamanca;042. Goya;5.895,89;5.587,62;5.994,11;6.682,47;7.497,63
04. Salamanca;043. Fuente del Berro;4.797,72;4.734,29;5.028,14;5.330,23;5.701,33
04. Salamanca;044. Guindalera;4.573,78;4.669,41;4.568,96;4.823,96;5.305,78
04. Salamanca;045. Lista;6.030,55;6.095,97;5.691,87;6.229,51;7.426,62
04. Salamanca;046. Castellana;7.975,95;7.487,38;6.933,03;7.757,61;8.983,97
05. Chamartín;05. Chamartín;5.111,43;5.148,46;5.122,90;5.616,88;5.860,95
05. Chamartín;051. El Viso;6.413,03;6.861,72;6.888,17;7.061,58;7.235,62
05. Chamartín;052. Prosperidad;4.406,30;4.334,71;4.393,45;5.053,89;5.010,83
05. Chamartín;053. Ciudad Jardín;4.400,14;4.464,58;4.861,42;5.191,32;5.627,01
05. Chamartín;054. Hispanoamérica;5.469,64;5.158,11;5.456,99;6.229,68;6.322,94
05. Chamartín;055. Nueva España;6.325,86;6.351,07;6.172,91;5.660,08;7.026,52
05. Chamartín;056. Castilla;4.042,11;4.187,83;4.105,89;5.098,72;4.596,60
06. Tetuán;06. Tetuán;3.661,17;3.648;3.756,93;3.955,42;4.677,48
06. Tetuán;061. Bellas Vistas;3.427;3.446,77;3.523,47;3.771,22;4.005,91
06. Tetuán;062. Cuatro Caminos;4.440,52;4.412,33;4.397,06;4.802,46;5.096,26
06. Tetuán;063. Castillejos;4.448,78;4.480,50;4.288,21;4.847,93;4.949,86
06. Tetuán;064. Almenara;3.203,90;2.802,31;3.291,43;3.194,29;4.046,93
06. Tetuán;065. Valdeacederas;3.049,99;3.139,79;3.331,40;3.404,75;5.060,01
06. Tetuán;066. Berruguete;2.989,74;3.273,71;3.302,37;3.310,06;3.674,61
07. Chamberí;07. Chamberí;5.538,86;5.451,36;5.701,59;6.188,49;6.789,79
07. Chamberí;071. Gaztambide;5.493,24;5.086,21;5.174,60;5.605,32;6.618,75
07. Chamberí;072. Arapiles;5.661,02;5.304,27;5.357,23;5.964,52;6.431,52
07. Chamberí;073. Trafalgar;5.516,80;5.626,61;5.476,80;6.215,88;6.628,31
07. Chamberí;074. Almagro;6.345,97;6.778,41;7.373,38;7.595,59;8.249,90
07. Chamberí;075. Ríos Rosas;5.421,65;5.240,96;5.782,02;6.238,76;6.592,80
07. Chamberí;076. Vallehermoso;4.739,14;4.882,43;5.044,46;5.577,05;6.090,19
08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;3.532,33;3.704,16;4.037,31;4.054,52;4.480,81
08. Fuencarral-El Pardo;081. El Pardo;0;0;3.021,76;3.326,83;3.282,62
08. Fuencarral-El Pardo;082. Fuentelarreina;3.762,46;4.204,21;3.740,43;4.274,97;4.462,11
08. Fuencarral-El Pardo;083. Peñagrande;3.449,96;3.371,99;3.554,93;3.992,90;4.013,27
08. Fuencarral-El Pardo;084. Pilar;3.435,90;3.347,02;3.436,49;3.788,20;3.957,97
08. Fuencarral-El Pardo;085. La Paz;3.643,28;3.377,56;3.672,89;3.969,93;3.800,94
08. Fuencarral-El Pardo;086. Valverde;3.482,97;3.454,15;4.408,98;4.003,80;3.852,75
08. Fuencarral-El Pardo;087. Mirasierra;3.097,57;4.012,29;4.464,42;4.281,56;6.127,26
08. Fuencarral-El Pardo;088. El Goloso;5.244,35;5.197,95;5.364,90;5.565,28;5.731,10
09. Moncloa-Aravaca;09. Moncloa-Aravaca;3.952,35;3.961,30;4.451,38;4.512,62;4.643
09. Moncloa-Aravaca;091. Casa de Campo;3.339,15;3.420,86;3.758,61;4.134,56;4.250,27
09. Moncloa-Aravaca;092. Argüelles;4.784,89;5.166,85;6.065,12;5.856,06;5.730,29
09. Moncloa-Aravaca;093. Ciudad Universitaria;4.360,67;3.755,05;4.319,97;4.486,39;4.531,60
09. Moncloa-Aravaca;094. Valdezarza;3.187,92;3.224,64;3.004,08;3.238,76;3.303,39
09. Moncloa-Aravaca;095. Valdemarín;4.806,85;3.987,21;4.563,39;5.168,96;4.994,74
09. Moncloa-Aravaca;096. El Plantío;3.146,36;4.576,47;4.267,15;4.544,10;0
09. Moncloa-Aravaca;097. Aravaca;4.059,23;3.891,01;3.993,14;4.361,71;4.564,22
10. Latina;10. Latina;2.309,59;2.423,18;2.340,85;2.507,78;2.636,10
10. Latina;101. Los Cármenes;2.468,47;2.319,70;2.465,68;2.672,55;2.722,75
10. Latina;102. Puerta del Ángel;2.574,74;2.575,67;2.611,52;2.796,26;2.883,88
10. Latina;103. Lucero;2.230,17;2.334,97;2.294,92;2.408,06;2.608,14
10. Latina;104. Aluche;2.178,89;2.530,65;2.247,29;2.362,33;2.484,34
10. Latina;105. Campamento;2.078,73;2.156,49;2.159,81;2.379,49;2.502,57
10. Latina;106. Cuatro Vientos;3.199,68;3.125,68;3.086,26;3.092,20;3.375,62
10. Latina;107. Águilas;2.243,51;2.212,08;2.153,24;2.350,98;2.491,21
11. Carabanchel;11. Carabanchel;2.178,48;2.352,41;2.335,49;2.454,64;2.480,02
11. Carabanchel;111. Comillas;2.503,79;2.756,18;2.658,56;2.838,59;2.781,64
11. Carabanchel;112. Opañel;2.278,29;2.532,89;2.433,51;2.500,72;2.468,48
11. Carabanchel;113. San Isidro;2.211,32;2.554,98;2.473,89;2.630,78;2.600,56
11. Carabanchel;114. Vista Alegre;2.128,06;2.122,10;2.193,55;2.236,79;2.443,73
11. Carabanchel;115. Puerta Bonita;1.987,58;2.054,07;2.054,57;2.125,93;2.196,36
11. Carabanchel;116. Buenavista;2.306,07;2.355,22;2.365,26;2.637,71;2.678,66
11. Carabanchel;117. Abrantes;1.901,37;1.951,76;2.013,23;2.210,36;2.130,72
12. Usera;12. Usera;1.896,40;2.323,82;2.065,27;2.183,17;2.303,88
12. Usera;121. Orcasitas;1.750,82;1.747,23;1.865,41;1.654,28;1.758,15
12. Usera;122. Orcasur;1.678,25;1.761,21;1.909,23;2.850,80;0
12. Usera;123. San Fermín;1.851,29;1.941,35;1.876,29;2.044,48;2.036,52
12. Usera;124. Almendrales;2.023,67;2.738,97;2.561,77;2.409,57;2.687,09
12. Usera;125. Moscardó;2.059,12;2.033,62;2.131,12;2.379,49;2.700,19
12. Usera;126. Zofío;1.990,79;1.920,80;1.755,15;2.107,67;2.103,87
12. Usera;127. Pradolongo;1.862,41;1.940,20;1.871,77;0;0
13. Puente de Vallecas;13. Puente de Vallecas;1.841,52;1.908,39;1.908,50;2.110,69;2.146,86
